Topics,Alpha,Beta,Coherence
2,0.01,0.01,-2.204684419777498
2,0.01,0.31,-2.2838671500117576
2,0.01,0.61,-2.261517006896879
2,0.01,0.9099999999999999,-2.4180985120360243
2,0.01,symmetric,-2.268053259879636
2,0.31,0.01,-2.2396783886445295
2,0.31,0.31,-2.348258694479172
2,0.31,0.61,-2.2799005122879024
2,0.31,0.9099999999999999,-3.008924116262944
2,0.31,symmetric,-2.3748824623675087
2,0.61,0.01,-2.322456969574726
2,0.61,0.31,-2.270239128639931
2,0.61,0.61,-2.3691826868779406
2,0.61,0.9099999999999999,-2.506591816362071
2,0.61,symmetric,-2.2009678012512754
2,0.9099999999999999,0.01,-2.330284204453048
2,0.9099999999999999,0.31,-2.2220347388731865
2,0.9099999999999999,0.61,-2.215804263458206
2,0.9099999999999999,0.9099999999999999,-2.4752260832236113
2,0.9099999999999999,symmetric,-2.2356510954320203
2,symmetric,0.01,-2.3022111431970664
2,symmetric,0.31,-2.290545643800056
2,symmetric,0.61,-2.3838667630705856
2,symmetric,0.9099999999999999,-3.096823939822214
2,symmetric,symmetric,-2.3185129399262747
2,asymmetric,0.01,-3.2617519557334647
2,asymmetric,0.31,-2.373640737319251
2,asymmetric,0.61,-3.2808308008749774
2,asymmetric,0.9099999999999999,-6.1016218045286825
2,asymmetric,symmetric,-3.2549550099448035
3,0.01,0.01,-2.4346899583212065
3,0.01,0.31,-2.5768624387224617
3,0.01,0.61,-2.3609992457143516
3,0.01,0.9099999999999999,-3.932915755676111
3,0.01,symmetric,-2.385963429461602
3,0.31,0.01,-2.4087352604974526
3,0.31,0.31,-2.3689075181477155
3,0.31,0.61,-2.733357980600999
3,0.31,0.9099999999999999,-4.793181868327488
3,0.31,symmetric,-2.378554145976299
3,0.61,0.01,-2.5148968479473086
3,0.61,0.31,-2.354689355279786
3,0.61,0.61,-2.5480097572489644
3,0.61,0.9099999999999999,-4.50764421348892
3,0.61,symmetric,-2.3578409998505454
3,0.9099999999999999,0.01,-2.645103282482407
3,0.9099999999999999,0.31,-2.3986964277073803
3,0.9099999999999999,0.61,-2.672151514534883
3,0.9099999999999999,0.9099999999999999,-4.70333259142318
